Ano;Mês;Distrito;Concelho;Freguesia;Tipo de Lâmpada;Luminárias;Lâmpadas por Luminária;Lâmpadas;Potência Instalada Total (W);CodDistrito;CodDistritoConcelho;coddistritoconcelhofreguesia
2026;5;Aveiro;Águeda;Aguada de Cima;Mercúrio;5.0;5.0;5.0;340.0;01;0101;010103
2026;5;Aveiro;Águeda;Aguada de Cima;Sódio;137.0;137.0;137.0;10310.0;01;0101;010103
2026;5;Aveiro;Águeda;Fermentelos;LED;857.0;834.0;857.0;32457.900276184082;01;0101;010109
2026;5;Aveiro;Águeda;Macinhata do Vouga;Sódio;56.0;56.0;56.0;4680.0;01;0101;010112
2026;5;Aveiro;Águeda;Valongo do Vouga;LED;296.0;296.0;296.0;10736.000091552734;01;0101;010119
2026;5;Aveiro;Águeda;Valongo do Vouga;Sódio;12.0;12.0;12.0;840.0;01;0101;010119
2026;5;Aveiro;Águeda;Águeda e Borralha;Fluorescente;14.0;14.0;14.0;700.0;01;0101;010121
2026;5;Aveiro;Águeda;Águeda e Borralha;LED;4303.0;4128.0;4331.0;166785.10000610352;01;0101;010121
2026;5;Aveiro;Águeda;Belazaima do Chão, Castanheira do Vouga e Agadão;Mercúrio;16.0;16.0;16.0;1670.0;01;0101;010123
2026;5;Aveiro;Águeda;Belazaima do Chão, Castanheira do Vouga e Agadão;Sódio;250.0;250.0;250.0;17830.0;01;0101;010123
2026;5;Aveiro;Águeda;Recardães e Espinhel;LED;2345.0;2315.0;2345.0;86194.00003433228;01;0101;010124
2026;5;Aveiro;Águeda;Recardães e Espinhel;Mercúrio;24.0;24.0;24.0;1500.0;01;0101;010124
2026;5;Aveiro;Águeda;Recardães e Espinhel;Outros/Não definido;73.0;72.0;73.0;1460.0;01;0101;010124
2026;5;Aveiro;Águeda;Trofa, Segadães e Lamas do Vouga;Iodeto Metálico;6.0;6.0;6.0;2400.0;01;0101;010126
2026;5;Aveiro;Águeda;Préstimo e Macieira de Alcoba;LED;920.0;920.0;920.0;32244.800003051758;01;0101;010127
2026;5;Aveiro;Águeda;Préstimo e Macieira de Alcoba;Sódio;262.0;262.0;262.0;18440.0;01;0101;010127
